idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
4635;A.NUARA E FIGLI SRL;Lukoil;Strada Statale;Nuara - V.le Leonardo Sciascia - Vill. Mosè;Statale 115 dir Sud Occidentale Sicula, Km. 190+700, dir. Siracusa 92100;AGRIGENTO;AG;37.27701951470328;13.610502183437347
8265;A.NUARA E FIGLI SRL;Pompe Bianche;Strada Statale;Nuara Via Leonardo Sciascia Km 191 + 450;Statale 115 dir Sud Occidentale Sicula, Km. 191 +450, dir. Agrigento 92100;AGRIGENTO;AG;37.271196979454935;13.620863556861877
28277;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;QUADRIVIO SPINANSANTA - AGRIGENTO;QUADRIVIO SPINANSANTA  92100;AGRIGENTO;AG;37.31919829622775;13.581069525760313
25473;PETROLCOKE ENERGY S.R.L.;SP Energia Siciliana;Altro;sp energia siciliana;c/da averna, giardina gallotti sn 92100;AGRIGENTO;AG;37.3526847016027;13.51844072341919
17803;A.NUARA E FIGLI SRL;Pompe Bianche;Altro;VIA PETRARCA ;VIA PETRARCA  92100;AGRIGENTO;AG;37.30192581036641;13.588533825576178
38171;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;Altro;VIA PETRARCA AGRIGENTO;VIA PETRARCA  92100;AGRIGENTO;AG;37.303777234919984;13.586254217136684
17810;A.NUARA E FIGLI SRL;Pompe Bianche;Altro;VIA PETRARCA SN;VIA PETRARCA SN 92100;AGRIGENTO;AG;37.2981646764832;13.58978882431984
17801;A.NUARA E FIGLI SRL;Pompe Bianche;Altro;VIALE SICILIA CONTRADA FONTANELLE;CONTRADA FONTANELLE  92100;AGRIGENTO;AG;37.32621304542855;13.591846078634262
20497;CIARAVELLA GIUSEPPE VALERIO;Q8;Strada Statale;Q8;Statale 118 Corleonese Agrigentina, Km. 93+63, dir. nord;ALESSANDRIA DELLA ROCCA;AG;37.56170013881221;13.451516926288605
28848;MELI ALFONSO;Q8;Altro;Q8;VIA ROMA  196 92021;ARAGONA;AG;37.40059799035912;13.61762747168541
11161;RIZZO GIOVANNI;Q8;Altro;stazione di servizio rizzo giovanni;VIA S.LA ROSA 135 92021;ARAGONA;AG;37.395494269083635;13.621182051589926
32468;CAFE' VALI' DI CARBONE R. E MANISCALCO R. E C. S.N.C.;Esso;Altro;Esso Cafe Vali;via FEDERICO II DI SVEVIA snc 92010;BIVONA;AG;37.614666580463016;13.435519561171531
16211;FALCO CARBURANTI S.A.S. DI GIUSEPPA  FALCO & C.;Agip Eni;Altro;FALCO CARBURANTI SAS;VIA TRIOCOLA 2 92010;CALTABELLOTTA;AG;37.575594747823374;13.220453972167661
30714;INCARDONA CARBURANTI DI BORDINO CROCIFISSA & C. S.A.S.;Tamoil;Strada Statale;INCARDONA CARBURANTI;Statale 410 di Naro, Km. 16+705, dir. naro 92020;CAMASTRA;AG;37.26309356572423;13.79327143637488
26491;URSO GIOVANNI BATTISTA;Q8;Altro;Q8;CORSO VITTORIO VENETO 297 92020;CAMASTRA;AG;37.25732352978499;13.791059106588364
7842;ELIOGEST DI TRAINA MARCELLO E GIAMBRONE AUSILIA & C. SOCIETA' IN IN ACCOMANDITA SEMPLICE.;Agip Eni;Strada Statale;ENI STATION CAMMARATA;Statale 189 della Valle del Platani, Km. 18+760, dir. AGRIGENTO-PALERMO 92022;CAMMARATA;AG;37.66139284028912;13.668215274810791
28169;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;Altro;VIA SAN FRANCESCO CAMMARATA;VIA SAN FRANCESCO  92022;CAMMARATA;AG;37.631579713679294;13.638728119179177
14853;CIOTTA MICHELE;Esso;Altro;ciotta michele;PIAZZA MARCONI  92023;CAMPOBELLO DI LICATA;AG;37.26096034896939;13.918012753129005
20349;PATTI GIOVANNI;Q8;Altro;Distributore Q8 Patti Giovanni;VIA EDISON SNC 92023;CAMPOBELLO DI LICATA;AG;37.26530654024615;13.91839899122715
23777;ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL;Agip Eni;Altro;A. Di Benedetto srl V.le C. Alberto Canicatti;VIALE CARLO ALBERTO SNC 92024;CANICATTI';AG;37.36246631312339;13.8555327218387
40223;F.LLI BARBIERI S.R.L.;Pompe Bianche;Altro;Barbieri energy;viale giudice antonino saetta sn 92024;CANICATTI';AG;37.35228108814452;13.832207545638084
9408;DI BENEDETTO FABIO;Q8;Altro;Di Benedetto Fabio;CONTRADA MADONNA AIUTO SS 122 KM 35,9 92024;CANICATTI';AG;37.380115518448335;13.846850395202637
41311;GAZZARA SALVATORE;Agip Eni;Altro;ENI GAZZARA S.;VIALE DELLA VITTORIA 43 92024;CANICATTI';AG;37.35296428406016;13.844490138692436
37104;CUMMO SALVATORE;Esso;Altro;Esso Cummo Petroli;VIA REGINA ELENA S.N. 92024;CANICATTI';AG;37.35695333509506;13.851240068436141
40562;CUMMO GIUSEPPE;Esso;Altro;esso Cummo Petroli;via regina elena  46 92024;CANICATTI';AG;37.356952100536546;13.851250943611035
